sample_id,timestamp_utc,location_id,source_type,li_ppm,na_ppm,k_ppm,mg_ppm,ca_ppm,cl_ppm,so4_ppm,b_ppm,sr_ppm,ba_ppm,sio2_ppm,tds_ppm,ph_raw,ph_adjusted,temperature_c,density_g_cm3,viscosity_cp,toc_ppm,oil_grease_ppm,inlet_flow_m3hr,operating_pressure_bar,residence_time_min,media_type,resin_age_days,elution_ratio,feed_temp_process_c,li_recovery_percent,mg_rejection_percent,ca_rejection_percent,na_rejection_percent,li_product_purity_percent,product_grade,mass_balance_error_percent,energy_kWh_per_m3,chemical_cost_USD_per_m3,replicate_number,rsd_percent,outlier_flagged,mass_balance_valid,qc_approved,qc_comments,analyst_id,lab_id,analysis_date,data_source,provenance,_source_repo,_source_file,_source_type
LW-2024-001,2024-01-15T09:30:00Z,1,produced_water,450,12000,2100,8500,3200,18000,5600,150,85,2,120,340000,6.2,6.8,28.5,1.23,4.5,45,8.5,10.5,25,8.5,ion_exchange,180,6.5,28.5,82.5,94.2,96.5,92.0,97.8,battery_grade,1.2,2.45,3.85,1,0.44,FALSE,TRUE,TRUE,Baseline conditions,1,1,2024-01-15,literature,Kesieme et al. 2013,kesieme/lithium-extraction,data_table_1.csv,csv
LW-2024-002,2024-01-15T10:15:00Z,1,produced_water,452,12050,2120,8480,3210,18100,5620,148,83,1.8,118,341000,6.3,6.85,28.8,1.225,4.4,44,8.2,10.5,25,8.6,ion_exchange,180,6.5,28.8,83.1,94.5,96.8,93.0,97.9,battery_grade,1.0,2.46,3.87,2,0.52,FALSE,TRUE,TRUE,Replicate 1,1,1,2024-01-15,literature,Kesieme et al. 2013,kesieme/lithium-extraction,data_table_1.csv,csv
LW-2024-003,2024-01-15T10:45:00Z,1,produced_water,448,11950,2080,8520,3190,17900,5580,152,87,2.2,122,339500,6.1,6.82,28.6,1.235,4.6,46,8.7,10.5,25,8.4,ion_exchange,180,6.5,28.6,81.8,93.9,96.2,91.5,97.6,battery_grade,1.5,2.44,3.83,3,0.58,FALSE,TRUE,TRUE,Replicate 2,1,1,2024-01-15,literature,Kesieme et al. 2013,kesieme/lithium-extraction,data_table_1.csv,csv
LW-2024-010,2024-01-16T09:00:00Z,1,produced_water,450,12000,2100,8500,3200,18000,5600,150,85,2,120,340000,6.2,6.8,28.5,1.23,4.5,45,8.5,7.5,25,12.0,ion_exchange,180,6.5,28.5,71.2,89.5,94.8,85.0,96.1,industrial,2.1,1.85,3.42,1,0.35,FALSE,TRUE,TRUE,Lower flow rate,1,1,2024-01-16,literature,Kesieme et al. 2013,kesieme/lithium-extraction,data_table_1.csv,csv
LW-2024-011,2024-01-16T10:00:00Z,1,produced_water,451,11980,2090,8510,3205,17950,5590,151,84,2.1,119,340500,6.25,6.83,28.7,1.232,4.45,44.5,8.4,7.6,25,11.8,ion_exchange,180,6.5,28.7,72.0,90.2,95.1,86.0,96.3,industrial,2.0,1.87,3.45,2,0.42,FALSE,TRUE,TRUE,Replicate Lower Flow,1,1,2024-01-16,literature,Kesieme et al. 2013,kesieme/lithium-extraction,data_table_1.csv,csv
LW-2024-020,2024-01-17T08:00:00Z,2,seawater,380,10500,1850,7200,2800,16500,4900,120,70,1.5,100,310000,7.8,6.9,25.0,1.198,3.8,35,6.5,11.0,22,7.8,membrane_nf,90,5.5,25.0,68.5,87.3,92.1,78.0,95.2,industrial,2.8,2.12,3.15,1,0.55,FALSE,TRUE,TRUE,Seawater baseline - Lower Li,2,2,2024-01-17,literature,Smith et al. 2022,smith-lab/seawater-lithium,Table_S1.xlsx,xlsx
LW-2024-021,2024-01-17T09:00:00Z,2,seawater,382,10520,1860,7180,2810,16600,4920,118,72,1.6,102,311000,7.75,6.88,25.2,1.199,3.82,36,6.7,11.1,22,7.9,membrane_nf,90,5.5,25.2,69.2,88.0,92.5,79.0,95.4,industrial,2.6,2.14,3.18,2,0.58,FALSE,TRUE,TRUE,Replicate Seawater,2,2,2024-01-17,literature,Smith et al. 2022,smith-lab/seawater-lithium,Table_S1.xlsx,xlsx
LW-2024-030,2024-01-18T10:30:00Z,3,brackish,520,13500,2300,9200,3500,19500,6100,170,95,2.5,135,365000,5.9,6.75,32.0,1.245,5.2,52,9.5,9.8,28,9.2,ion_exchange,200,7.0,32.0,85.1,96.2,97.8,94.5,98.5,battery_grade,0.9,2.68,4.15,1,0.48,FALSE,TRUE,TRUE,Brackish - Higher Mg,3,3,2024-01-18,literature,Johnson & Lee 2023,johnson-lab/brackish-brine,experimental_data.json,json
LW-2024-031,2024-01-18T11:15:00Z,3,brackish,518,13480,2310,9210,3490,19450,6090,172,96,2.4,133,364500,5.95,6.77,31.8,1.244,5.18,51,9.6,9.9,28,9.1,ion_exchange,200,7.0,31.8,84.8,96.0,97.6,94.2,98.4,battery_grade,1.0,2.66,4.12,2,0.51,FALSE,TRUE,TRUE,Replicate Brackish,3,3,2024-01-18,literature,Johnson & Lee 2023,johnson-lab/brackish-brine,experimental_data.json,json
LW-2024-040,2024-01-19T14:45:00Z,1,produced_water,450,12000,2100,8500,3200,18000,5600,150,85,2,120,340000,6.2,6.8,35.0,1.23,4.5,45,8.5,10.5,30,8.5,ion_exchange,180,6.5,35.0,78.2,91.5,95.2,88.0,97.1,battery_grade,1.4,2.88,4.02,1,0.41,FALSE,TRUE,TRUE,Higher temperature (35C),1,1,2024-01-19,literature,Kesieme et al. 2013,kesieme/lithium-extraction,data_table_1.csv,csv
LW-2024-041,2024-01-19T15:30:00Z,1,produced_water,451,12010,2105,8495,3205,18050,5610,149,84,2.05,121,340250,6.22,6.82,35.1,1.231,4.48,44.5,8.6,10.6,30,8.6,ion_exchange,180,6.5,35.1,78.5,91.8,95.4,88.5,97.2,battery_grade,1.3,2.90,4.04,2,0.45,FALSE,TRUE,TRUE,Replicate Temp 35C,1,1,2024-01-19,literature,Kesieme et al. 2013,kesieme/lithium-extraction,data_table_1.csv,csv
LW-2024-050,2024-01-20T11:20:00Z,4,geothermal,580,14200,2450,9800,3800,20500,6500,185,105,3,150,375000,4.8,6.5,55.0,1.265,6.2,65,11.0,12.0,35,7.5,ion_exchange,150,7.5,55.0,88.9,97.5,98.5,95.5,98.9,battery_grade,0.7,3.15,4.45,1,0.39,FALSE,TRUE,TRUE,Geothermal - Very hot,4,4,2024-01-20,literature,Chen et al. 2021,chen-lab/geothermal-li,supplementary.csv,csv
LW-2024-051,2024-01-20T12:00:00Z,4,geothermal,582,14220,2460,9810,3810,20550,6520,186,106,3.1,151,376000,4.75,6.52,55.2,1.266,6.25,65.5,11.2,12.1,35,7.6,ion_exchange,150,7.5,55.2,89.2,97.6,98.6,95.7,99.0,battery_grade,0.6,3.18,4.48,2,0.42,FALSE,TRUE,TRUE,Replicate Geothermal,4,4,2024-01-20,literature,Chen et al. 2021,chen-lab/geothermal-li,supplementary.csv,csv
